Species,ID,Gender,Hatch Date,weight,Price,sale price,On website,Status,Availability
Chahoua,MC1 Azalea x Everest #1,NPV,9/9/2024,9.17g,6500,,,,
Chahoua,MC2 Judge x Hyacinth,NPV,7/15/2024,15.57g,6500,,,,
Chahoua,MC3 Spring x Sage,Male,8/13/2024,8.87g,4000,,,,
Chahoua,MC4 Judge x Hyacinth #2,NPV,9/10/2024,8.68g,1200,,,,
Chahoua,MC5 Parula x Quartz ,Male,10/30/2024,6.64g,400,,no,Auction,
Chahoua,MC6 Loon x Thrush ,Male ,11/7/2024,4.96g,325,,no,Auction,
Chahoua,MC7 Nectar x Cotopaxi,NPV,9/14/2024,12g,2000,2500,,,
Chahoua,MC8 Vanda x Atlas,NPV,6/27/2024,13.33g,2000,,,,
Chahoua,MC9 Tangara x Thrasher,Probable female,9/18/2024,12g,1200,,,,
Chahoua,MC10 Cartman x Coronet,Unsexed NPV,9/18/2024,7.62g,600,,no,,
Chahoua,MC11 Labyrinth x Skyy,Male,10/18/2024,9.34g,3000,3650,,,
Chahoua,MC12 Laelia x Source,Unsexed NPV,10/8/2024,11.90g,4000,,,,
Chahoua,MC 13 Disco x Gannet,Unsexed NPV,10/24/2024,6.73g,1200,,,,
Chahoua,MC 14 Nectar x Judge,NPV ,9/15/2024,14g,4500,5k,,,
Chahoua,MC15 Gardenia x Eclipse,Unsexed NPV,9/17/2024,7.28g,1650,,,,
Chahoua,MC16 Arctica x Lolo,Unsexed NPV,10/4/2024,6.39g,5500,,,,
Chahoua,MC17 Tangara x Thrasher 2,Possible male,9/18/2024,8.22g,1200,,,,
Chahoua,MC18 Nebula x Persia,Unsexed,10/25/2024,6.03g,425,,No,Auction,
Chahoua,MC19 Koala x Jacamar,Unsexed NPV,8/27/2024,7.95g,750,,,Auction,
Chahoua,MC20 MMM x Sahara,male,10/30/2024,1/7/1900,4250,,,,
Chahoua,MC21 Aphrodite x Pinnacle,Unsexed NPV,10/7/2024,11.30g,5500,5k,,,
Chahoua,MC22 Soul Shifter x Sad Night Dynamite,Female,7/18/2024,16.01g,7000,,Yes,,
Chahoua,MC23 Labyrinth x Skyy,Poss male,8/9/2024,12.20g,4500,3650,no,,
Chahoua,MC24 Joyride x Sundown,Female,10/30/2024,7.04g,"15,000",,no,,
Chahoua,MC25 Feliz x JB,Unsexed NPV,10/26/2024,6.82g,"10,000",,no,,
Chahoua,MC26 Indo x Fungi ,Female,7/15/2024,12.48g,"10,000",,no,,
Chahoua,MC27 Laelia x Source,Female,8/5/2024,14.6g,"4,250",4k,Yes,,
Chahoua,MC28 Feliz x JB,Possible male,11/4/2024,7.55g,"5,500",,no,,
Chahoua,MC29 Southern Charm x Calyx,Male,10/15/2024,1/9/1900,"2,500",2k,No,,
Chahoua,MC30 Starling x Denali,Unsexed NPV,10/18/2024,6.92g,"6,000",,No,,
Chahoua,MC31 Laelia x Source,Female,6/23/2024,15.43g,"12,000",,yes,,
Chahoua,MC32 Soul Shifter x Sad night Dynamite,Male,9/12/2024,8.19g,950,,no,Hold back,
Chahoua,MC33 Laelia x Source,Female,10/6/2024,12.23g,"1,650",,no,,
Chahoua,MC34 Aphrodite x Pinnacle,Male,8/9/2024,10.13g,"5,500",,yes,Holdback,
Chahoua,MC35 Parula x Quartz,Poss male,8/27/2024,8.96g,400,,no,Auction,
Chahoua,MC36 Lady Slipper x Bandit,Male,6/25/2024,13.91g,"7,000",,Yes,,
Chahoua,MC37 Whiteout x Sabre,Female,6/8/2024,13.45g,"1,500",,Yes,,
Chahoua,MC38 Southern Charm x Calyx ,Unsexed NPV,10/16/2024,10.45g,"2,250",,No,,
Chahoua,MC39 Nectar x Cotopaxi,Male,7/21/2024,11.24g,"6,000",,no,,
Chahoua,MC40 Joyride x Sundown,Male,6/25/2024,13.03g,"3,650",,no,,
Chahoua,MC41 Sun Dragon x Tiger Balm,Male,11/23/2024,7.39g,2k,,,,
Chahoua,MC42 Gardenia x Eclipse ,Poss male,7/21/2024,11.88g,750,,yes,Auction,
Chahoua,MC43 Laelia x Source,female,8/6/2024,14.10g,"2,000",,no,,
Chahoua,MC44 Gardenia x Eclipse,Female,5/31/2024,16.48g,999,,yes,,
Chahoua,MC45 Labyrinth x Skyy,male,8/6/2024,12.33g,"3,500",,no,,
Chahoua,MC46 Arctica x Lolo,Poss male,8/1/2024,9.90g,"2,000",,no,,
Chahoua,MC47 Joyride x Sundown ,male,10/29/2024,6.48g,"8,500",,no,,
Chahoua,MC48 Prism x Rhythm,Unsexed,10/19/2024,7.40g,"12,000",,no,,
Chahoua,MC49 Labyrinth x Skyy,poss male,10/18/2024,7.75g,"6,000",,no,,
Chahoua,MC50 Hyacinth x Judge ,poss male ,9/9/2024,8.81g,"5,000",,no,,
Chahoua,MC 51 Prism x Rhythm ,poss male,8/6/2024,8.43g,999,,no,,
Chahoua,MC52 MMM X sahara,male,6/28/2024,15.48g,"3,850",,yes,,
Chahoua,MC53 Koala x Jacamar,Poss male,7/14/2024,10.18g,999,,no,,
Chahoua,MC54 Whiteout x Sabre ,Prob female NPV,8/4/2024,8.94g,"3,500","2,850",no,,
Chahoua,MC55 Greenlet x Kush,Male,6/7/2024,15.28g ,385,,no,Auction,
Chahoua,MC56 Nectar x Cotopaxi ,Male,7/21/2024,11.10g,"2,500",,yes,,
Chahoua,MC57 Joyride x Sundown ,Male,6/30/2024,9.64g,"2,500",,yes,,
Chahoua,MC58 Azalea x Everest,Female,7/21/2024,17g,"3,000","3,500",no,,
Chahoua,MC59 Koala x Jacamar,Female,7/14/2024,12.83g,"1,350",,no,,
Chahoua,MC60 Vader x Lotus,Female,7/31/2024,13.07g,"6,000",,no,,
Chahoua,MC61 Southern Charm x Calyx ,Male,7/31/2024,11.80g,"2,650",,no,,
Chahoua,MC62 tangara x thrasher,Unsexed,5/18/2025,,,,,,
Chahoua,MC63 Tangara x Thrasher,Unsexed,5/16/2025,,,,,,
Chahoua,MC64 Bliss x Lark,Unsexed,5/18/2025,,,,,,
Chahoua,MC65 Skittles x Funk,Unsexed,1/25/2025,,,,,,
Chahoua,MC66 Greenlet x Kush,Unsexed,1/25/2025,,,,,,
Chahoua,MC67 Labyrinth x Skyy,Unsexed,1/25/2025,,,,,,
Chahoua,MC68 Thrush x Loon,Unsexed,6/26/2025,,400,,,,
Chahoua,MC69 Firefly x Ivy,Unsexed,5/16/2025,,699,,,,
Chahoua,MC70 Koala x Jacamar,Unsexed,6/23/2025,,,,,,
Chahoua,MC71 Ivy x Firefly,Unsexed,4/8/2025,,,,,,
,MC72 Southern Charm x Calyx,Unsexed ,6/15/2025,,,,,,
,MC73 Southern Charm X Calyx ,,6/12/2025,,,,,,
,MC75 Kuso Barbet,Unsexed,6/22/2025,,,,,,
,MC76 Nectar x Cotopaxi ,,5/12/2025,,,,,,
,MC2025-16 Mother of Pearl x Sheronas son,Unsexed,6/10/2025,,950,,,,
,MC2025-17 Ivy x Firefly,NPV,4/12/2025,8.8g,"1,500",,,,
,MC2025 -18 Azalea x Everest,,5/6/2025,1/6/1900,700,,,,
,MC2025-19 Aphrodite x Pinnacle,,5/17/2025,17.6g,2k,,,,
,MC2025-20 Feliz x Jimmy Butler,,5/12/2025,8.5g,"3,500",,,,
,MC2025-21 Sun Bonnet x Mega Man,,5/23/2025,7.9g,"1,200",,,,
,MC2025-22 Fungi x Indo,,6/29/2025,6.5g,,,,,
,MC2025-23 Bliss x Lark ,,7/15/2025,5.3g,,,,,
,MC2025-24 Oracle x Superfly,,8/9/2025,5.5g`,12k,,,,
,MC2025-25 Fungi x Indo,,6/29/2025,8g,,,,,
,MC2025-26 MOP x Sheronas son,,7/27/2025,6.2g,,,,,
,MC2025-27 Starling x Denali,famele,6/15/2025,9.2g,"3,500",,,,
,MC2025-28 Lady slipper x bandit,,8/7/2025,5g,4k,,,,
,MC2025-29 Daydream x ,,8/9/2025,5g,,,,,
,MC2025-30 Sun Bonnet x Mega Man,,5/23/2025,,,,,,
,MC2025-31 Preciosa x Crop Duster,,6/19/2025,,,,,,
,MC2025-32 Sun Angel x Woodstar,,6/22/2025,,,,,,
,MC2025-33 Kuso Barbet ,,8/25/2025,,,,,,
,MC2025-34 Greenlet kush,,7/25/2025,,,,,,
,MC2025-35 Sahara MMM,`,8/17/2025,,,,,,
,MC2025-36 MOP x Sheronas son,,6/8/2025,,,,,,
,MC2025-37 Vanda x Atlas,,6/26/2025,,,,,,
,MC2025-38 Sun Angel x Wood Star,,8/15/2025,,,,,,
,MC2025-39 Hyacinth x Judge,,8/10/2025,,,,,,
,MC2025-40 Koala x Jacamar,,8/7/2025,,,,,,
,MC2025-41 Loon x Thrush,,8/23/2025,,,,,,
,MC2025-42 Parula x Quartz,,8/21/2025,,,,,,
,MC2025-43 tangara x thrasher,,7/4/2025,,,,,,
,MC2025-44 Skittles x Lark,,9/29/2025,,,,,,
,MC2025-45 Kuso x barbet,,8/25/2025,,,,,,
,MC2025-46 Loon x Thrush,,6/29/2025,,,,,,
,MC2025-47 Aphrodite x Pinnacle,,7/5/2025,,,,,,
,MC2025-48 Firefly x Ivy ,,6/30/2025,,,,,,
,MC2025-49 Labyrinth x Skyy,,7/10/2025,,,,,,
,Mc2025-50 Aphrodite x Pinnacle,,7/3/2025,,,,,,
,MC2025-51 Tern x Godzooky,,7/27/2025,,,,,,
,MC2025-52 Spring x Fungi,,6/18/2025,,,,,,
,MC2025-53 Whiteout x Sabre,,8/7/2025,,,,,,
,MC2025-54 Azalea x Everest,,6/21/2025,,,,,,
,MC2025-55 preciosa x crop duster,,,,,,,,
,MC2025-56 Nectar x Cotopaxi,,5/11/2025,,,,,,
,MC2025-57 Sundown x Joyride ,,8/5/2025,,,,,,
,MC2025-58 Koala x Jacamar,,5/6/2025,,,,,,
,MC2025-59 Disco x Gannet,,7/725,,,,,,
,MC2025-60 Koala x Jacamar,,5/8/2025,,,,,,
,MC2025-61 vanda atls,,8/23/2025,,,,,,
,MC2025-62 Vader x Lotus,,7/27/2025,,,,,,
,MC2025-63 MMM x Sahara ,,6/15/2025,,,,,,
,MC2025-64 Ivy x Firefly,,8/11/2025,,,,,,
,MC2025-65 Sun Angel x Woodstar,,6/23/2025,,,,,,
,MC2025-66 Rhythm x Prism,,7/1/2025,,,,,,
No pics,MC2025-67 Spring x Fungi,,6/19/2025,,,,,,
,MC2025-68 Lady Slipper x Bandit ,,6/15/2025,,,,,,
,MC2025-69 Delight x Juice,,11/11/2025,,,,,,
,MC2025-70 Sundown x Joyride,,6/17/2025,,,,,,
,MC2025-71 Earth Star x Scarab,,6/18/2025,,,,,,
,MC2025-72 Day Dream x Bonsai,,9/25/2025,,,,,,
,MC2025-73 Firefly x Ivy,,6/30/2025,,,,,,
,MC2025-74 Tangara x Thrasher,,7/7/2025,,,,,,
,MC2025-75 Sedona x Candyman,,7/19/2025,,,,,,
,MC2025-76 Preciosa x Candynman,,9/20/2025,,,,,,
,MC2025-77 Preciosa x Candyman,,8/5/2025,,,,,,
,MC2025-78 Felix x Jimmy Butler,,8/20/2025,,,,,,
,MC2025-79 Nectar x Cotopaxi,,6/25/2025,,,,,,
,MC2025-80 Tangera x Thrasher,,8/21/2025,,,,,,
,MC2025-81 Sweet Tooth x Masterpiece,,7/7/2025,,,,,,
,MC2025-82 Sun Dragon x Tiger Balm,,6/20/2025,,,,,,
,MC2025-83 Zombie x Swamp Goddess,,7/9/2025,,,,,,
,MC2025-84 Sheronas son x Raksha,,11/30/2025,,,,,,
,MC2025-85 Oracle x Superfly,,6/15/2025,,,,,,
,MC2025-86 Laelia x Source,,7/18/2025,,,,,,
,MC2025-87 Delight x Juice,,11/11/2025,,,,,,
,MC2025-88 Aphrodite x Pinnacle,,5/17/2025,,,,,,
,MC2025-89 Oracle x Superfly,,6/17/2025,,,,,,
,MC2025-90 Sedona x Candyman,,5/29/2025,,,,,,
,MC2025-91 Delight x Juice,,7/27/2025,,,,,,
,MC2025-92 Dragons Milk x Night Crawler,,8/9/2025,,,,,,
,MC2025-93 Lady slipper x Bandit,,6/15/2025,,,,,,
,MC2025-94 Preciosa x Crop Duster,,6/21/2025,,,,,,
,MC2025-95 Oracle x Super Fly,,8/7/2025,,,,,,
,MC2025-96 Sedona x Candy Man,,5/21/2025,,,,,,
,MC2025-97 Sedona x Candy Man,,8/17/2025,,,,,,
,MC2025-98 Wild Flower x Golden Ticket,,8/30/2025,,,,,,
,MC2025-99 Wild Flower x Golden Ticket,,8/30/2025,,,,,,
,MC2025-100 Spring x Sage,,8/12/2025,,,,,,
,MC2025-102 tern x Godzooky,,7/29/2025,,,,,,
,MC2025-103 Disco x Gannet,,5/21/2025,,,,,,
,MC2025-104 Sundown x Joyride,,6/14/2025,,,,,,
,MC2025-105 Hyacinth x Judge,,5/12/2025,,,,,,
,MC2025-106 Lady Slipper x Bandit,,10/22/2025,,,,,,
,MC2025-107 soul shifter x sad night dynamite,,9/1/2025,,,,,,
,MC2025-108 lady slipper x bandit,,8/7/2025,,,,,,
,MC2025-109 dragons milk night crawler,,8/7/2025,,,,,,
,MC2025-110 Feliz x Jimmy Bitler,,5/11/2025,,,,,,
,MC2025-111 SPring x Sage,,10/4/2025,,,,,,
,MC2025-112 Soul Shifter x Sad night dynamite,,9/4/2025,,,,,,
,MC2025-113 Mother of pearl x Sheronas son,,7/27/2025,,,,,,
,MC2025-114 Nectar x Cotopaxi,,8/29/2025,,,,,,
,MC2025-115 Earth Star x Scarab,,6/29/2025,,,,,,
,MC2025-116 Soul Shifter x Sad night dynamite,,5/28/2025,,,,,,
,MC2025-117 Tern x Godzooky,,6/10/2025,,,,,,
,MC2025-118 Tangara x Thrasher,,8/21/2025,,,,,,
,MC2025-119 Sad night dynamite x Soul Shifter,,7/8/2025,,,,,,
,MC2025-120 Flor x Cotinga,,7/3/2025,,,,,,
,MC2025-121 masterpiece x Sweet Tooth,,10/2/2025,,,,,,
,MC2025-122 Hyacinth x Judge,,8/15/2025,,,,,,
,MC2025-123 Sedona x Candyman,,7/15/2025,,,,,,
,MC2025-124 Rhythm x Prism,,6/26/2025,,,,,,
,MC2025-125 Earth Star x Scarab,,8/28/2025,,,,,,
,MC2025-126 Sweet Tooth x Masterpiece,,10/1/2025,,,,,,
,MC2025-127 Delight x Juice,,7/28/2025,,,,,,
,MC2025-128 Azalea x Everest,,5/5/2025,,,,,,
,MC2025-129 Firefly x Ivy,,5/17/2025,,,,,,
,MC2025-130 Nectar x Cotopaxi,,8/24/2025,,,,,,
,MC2025-131 Aphrodite x pinnacle,,8/22/2025,,,,,,
,MC2025-132 aphrodite x Pinnacle,,8/22/2025,,,,,,
,MC2025-133 Starling x Denali,,6/12/2025,,,,,,
,MC2025-134 Azalea x Everest,,6/21/2025,,,,,,
,MC2025-135 Formula 1 x Quetzal,,9/19/2025,,,,,,
,MC2025-136 Formula 1 x Quetzal,,9/19/2025,,,,,,
,MC2025-137 Parula x Quartz,,6/12/2025,,,,,,
,MC2025-138 Parula x Quarz,,10/21/2025,,,,,,
,MC2025-139 Parula x Quartz,,10/21/2025,,,,,,
,MC2025-140 Azalea x Everest,,8/17/2025,,,,,,
,MC2025-141 Labyrinth x Skyy,,5/21/2025,,,,,,
,MC2025-142 Koala x Jacamar,,8/6/2025,,,,,,
,MC2025-143 Vader X Lotus,,10/5/2025,,,,,,
,MC2025-144 Skittles xfunk,,7/31/2025,,,,,,
,MC2025-145 Vader x Lotus,,10/2/2025,,,,,,
,MC2025-146 Nectar x Cotopaxi ,,6/27/2025,,,,,,
,MC2025-147 Laelia x Source,,7/18/2025,,,,,,
,MC2025-148 Starling x Denali,,8/1/2025,,,,,,
,MC2025-149 Srarling x Denali,,8/1/2025,,,,,,
,MC2025-150 Prism x Rhythm,,5/8/2025,,,,,,
,MC2025-151 Vader x Lotus,,7/26/2025,,,,,,
,MC2025-152 Whiteout x Sabre,,8/10/2025,,,,,,
,MC2025-153 Labyrinth x Skyy,,9/15/2025,,,,,,
,MC2025-154 Labyrinth x Skyy,,9/19/2025,,,,,,
,MC2025-155 MMM x Sahara,,6/15/2025,,,,,,
,MC2025-156 Feliz x JB,,8/17/2025,,,,,,
,MC2025-157 Ambrosia x Skunk,,8/20/2025,,,,,,
,MC2025-158 Skittles x Funk,,10/14/2025,,,,,,
,MC2025-159 Earth Star x Scarab,,8/16/2025,,,,,,
,MC2025-160 Southern Charm x Calyx ,,8/2/2025,,,,,,
,MC2025-161 Firefly x Ivy,,8/11/2025,,,,,,
,MC2025-162 Tern x Godzooky ,,6/11/2025,,,,,,
,Mc2025-163 Oracle x Superfly ,,9/30/2025,,,,,,
,MC2025-164 Soul Shifter x Sad night dynamite,,5/21/2025,,,,,,
,MC2025-165 Kuso x Barbet,,10/15/2025,,,,,,
,MC2025-166 Kuso x Barbet,,10/15/2025,,,,,,
,MC2025-167 Daydream x Bonsai,,9/25/2025,,,,,,
,MC2025-168 Sweet Tooth x Masterpiece,,7/3/2025,,,,,,
,MC2025-169 Daydream x Bonsai,,8/12/2025,,,,,,
,MC2025-170 Daydream x Bonsai,,7/1/2025,,,,,,
,MC2025-171 Sun Angel x Woodstar,no pores prob female,8/12/2025,8.1g,,,,,
,MC2025-142 Koala x Jacamar,unsexed,8/6/2025,6.5g,,,,,
,MC2025- 172 Greenlet x Kush,Unsexed,,10g,,,,,
,MC2025-62 vader x lotus,female,7/27/2025,11g,,,,,
,MC2025-66 Vanda x Atlas,Female,6/23/2025,11.5g,,,,,
,MC2025-64 firefly x ivy,Male,8/11/2025,6.9g,,,,,
,MC2025-18 Indo x Fungi,Poss male pores seen,8/30/2025,8.6g,,,,,
,MC2025173 -Laelia x source,Unsexed no pores,9/12/2025,6g,,,,,
,MC2025-158 Skittles x Funk,Unsexed,10/14/2025,5g,,,,,
,MC2025-165 Kuso Barbet,Unsexed,10/15/2025,4.6g,,,,,
,MC2025-166 Kuso x Barbet,Unsexed,10/15/2025,5.3g,,,,,
,MC2025-138 Parula x Quartz ,no pores,10/21/2025,6g,,,,,
,MC2025-61 Vanda x Atlas,unsexed,8/23/2025,8.4g,,,,,
,MC2025-34 greenlet x kush,Probable male,7/25/2025,9.2g,,,,,
,,,,,,,,,
Crested,CC2 Julix x Gravy,Female,7/19/2024,1/8/1900,800,,no,,
